epoch,acc,loss,lr,val_acc,val_loss
0,0.7237812889633131,0.12250960740183188,0.001,0.47536348949919227,2.3014582719094148
1,0.8736650608192575,0.06400883949494116,0.001,0.78338718362951,0.8070873765989047
2,0.9112623387224345,0.046425520975905896,0.001,0.8752019386106623,0.4663063966672653
3,0.930128356310266,0.03801420308260231,0.001,0.907108239095315,0.3199429283491308
4,0.9351143752396462,0.0345435161254611,0.001,0.9220516962843296,0.26004599683953666
5,0.9387865107994342,0.03236290139284484,0.001,0.8850296176628971,0.3744827030115251
6,0.9453896169584884,0.028516173707110754,0.001,0.8189283791060851,0.5754125907367189
7,0.9517905872108214,0.026439954917443047,0.001,0.8548734518039849,0.4723815337649968
8,0.9532055385277503,0.02428525236701582,0.001,0.8924340333871836,0.3688794920701427
9,0.9536098103331607,0.023807655042261705,0.001,0.9441303177167475,0.19072480730042382
